iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
13.0,-0.09431038796901703,-1.9044482093929664,-0.18156184488064292,0.0,-0.09431038796901703,-0.009511338812964303,-0.25418658283290013,0.0,-0.13516844809055328,-0.14765480160713196,3.653909914762945e-27,-0.25418658283290013,0.0,-0.1499607115983963,-0.13626566529273987
14.0,-0.09797891974449158,-1.7945379034502444,-0.18640349407746007,0.0,-0.09797891974449158,-0.0007007916768391927,-0.25418658283290013,0.0,-0.14933833479881287,0.12264686822891235,1.5310950347544e-32,-0.25418658283290013,0.0,-0.16212765872478485,-0.13552817702293396
15.0,-0.10218866169452667,0.24060270589868912,-0.19063993712467509,0.0,-0.10218866169452667,-0.010105989873409271,-0.25418658283290013,0.0,-0.16533485054969788,-0.15118396282196045,4.7508644921879944e-32,0.0,0.0,0.14857621490955353,0.11416299641132355
16.0,-0.10513238608837128,-1.6805641825696345,-0.19437797510751184,0.0,-0.10513238608837128,-0.01760066782726961,-0.25418658283290013,0.0,-0.15223196148872375,-0.13751551508903503,1.6687150910296323e-37,0.0,0.0,0.12827719748020172,-0.19578197598457336
17.0,-0.10827706009149551,-1.5378195104795467,-0.19770067553670007,0.0,-0.10827706009149551,-0.00860084593296051,-0.25418658283290013,0.0,-0.1617366373538971,0.1443961262702942,1.160909366029292e-42,-0.25418658283290013,0.0,-0.1534910500049591,-0.13968119025230408
18.0,-0.11039910465478897,-1.3486596252562182,-0.20067361802597375,0.0,-0.11039910465478897,-0.01596867567614505,-0.25418658283290013,0.0,-0.148595929145813,-0.1485896110534668,1.0686806547866253e-41,-0.25418658283290013,0.0,-0.15557444095611572,-0.1180456131696701
19.0,-0.11241453886032104,-1.352435424969299,-0.20334926626632005,0.0,-0.11241453886032104,-0.022714129835367202,-0.25418658283290013,0.0,-0.15070781111717224,-0.15087775886058807,4.2735927206591636e-47,-0.25418658283290013,0.0,-0.1540430337190628,-0.13054268062114716
20.0,-0.11564525216817856,-1.3293309626577692,-0.20577009086472864,0.0,-0.11564525216817856,-0.029158327551115127,-0.25418658283290013,0.0,-0.18025949597358704,-0.1580422818660736,1.5242345993294755e-52,-0.25418658283290013,0.0,-0.15891671180725098,-0.13641835749149323
21.0,-0.11704424023628235,-1.3808037453683266,-0.2079708404996455,0.0,-0.11704424023628235,-0.03499292582273483,-0.25418658283290013,0.0,-0.14642301201820374,-0.15751948952674866,3.799573587598106e-58,-0.25418658283290013,0.0,-0.16403168439865112,-0.15748634934425354
22.0,-0.11883443593978882,-0.008641427711542166,-0.20998022060109137,0.0,-0.11883443593978882,-0.02769519647826319,-0.25418658283290013,0.0,-0.15821853280067444,0.13285484910011292,9.722326369610553e-64,-0.25418658283290013,0.0,-0.15167753398418427,0.1316443234682083
